feature,importance,rank
precipitation_mm_lag_14d,0.0011399842,56
pm10_roll_median_30d,0.0011199551,57
pm10_roll_var_7d,0.0011080431,58
pm25_roll_mean_30d,0.0011036366,59
wind_speed_kmh_roll_std_14d,0.0011035049,60
pm25_roll_median_3d,0.0010939905,61
temperature_c_lag_2d,0.0010388669,62
temperature_c_roll_min_14d,0.0010347003,63
temperature_c_roll_std_30d,0.0010323335,64
pm25_roll_max_30d,0.0010313478,65
humidity_pct_roll_median_14d,0.0010195137,66
pm25_roll_median_30d,0.0010007818,67
humidity_pct_lag_3d,0.000963729,68
temperature_c_roll_min_3d,0.00095607684,69
temperature_c_roll_max_3d,0.0009474071,70
humidity_pct_roll_median_3d,0.0008840122,71
humidity_pct_roll_max_3d,0.0008810611,72
wind_speed_kmh_roll_max_3d,0.00087496894,73
temperature_c_roll_max_7d,0.0008642267,74
temperature_c_roll_mean_14d,0.00086265674,75
pm10_lag_2d,0.0008573536,76
pm10_roll_mean_7d,0.00084003987,77
humidity_pct_roll_mean_3d,0.0008371739,78
temperature_c_roll_median_14d,0.00082508166,79
wind_speed_kmh_roll_min_7d,0.0008085287,80
pm10_roll_min_3d,0.00080713036,81
temperature_c_roll_std_3d,0.00078509015,82
humidity_pct_roll_median_30d,0.0007642772,83
precipitation_mm_lag_1d,0.0007613841,84
wind_speed_kmh_roll_mean_3d,0.00075742195,85
pm10_roll_median_14d,0.00075226935,86
pm25_roll_std_3d,0.00075155916,87
pm25_lag_3d,0.00074444653,88
pm25_roll_var_3d,0.00073593226,89
humidity_pct_lag_7d,0.0007325117,90
quarter,0.0007301916,91
temperature_c_lag_1d,0.0007282646,92
pm25_roll_median_14d,0.00069010403,93
humidity_pct_roll_std_3d,0.00067616976,94
pm25_lag_2d,0.0006471316,95
wind_speed_kmh_lag_2d,0.00064684823,96
pm10_roll_std_3d,0.00064613414,97
pm10_roll_min_30d,0.0006358215,98
wind_speed_kmh_roll_min_3d,0.00063232315,99
wind_speed_kmh_roll_median_3d,0.00062598014,100
wind_speed_kmh_roll_median_14d,0.0006205103,101
pm25_roll_median_7d,0.00061535015,102
pm10_lag_7d,0.00061126816,103
pm10_lag_14d,0.0006034291,104
days_until_diwali,0.00059677026,105
pm10_roll_min_14d,0.0005614304,106
temperature_c_roll_median_30d,0.0005514989,107
pm25_lag_14d,0.00054684177,108
days_since_diwali,0.00054285576,109
wind_speed_kmh_lag_1d,0.0005324664,110
wind_speed_kmh_roll_var_3d,0.00051902165,111
wind_speed_kmh_lag_3d,0.000500526,112
pm10_roll_std_7d,0.0004901834,113
humidity_pct_roll_mean_14d,0.0004891491,114
wind_speed_kmh_roll_std_30d,0.00048723866,115
month,0.00048054065,116
pm25_lag_7d,0.00046103902,117
wind_speed_kmh_lag_14d,0.00045127657,118
no2_lag_7d,0.0004359748,119
