trial_number,model_name,feature_set,hyperparameters,validation_score_mae,objective_function,random_seed,selected
5,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 4, ""learning_rate"": 0.02, ""n_estimators"": 100, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 5.0}",21.2131,inner_temporal_val_mae_2023,42,False
6,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 2, ""learning_rate"": 0.05, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 6.0, ""reg_lambda"": 6.0}",16.268,inner_temporal_val_mae_2023,42,False
7,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 2, ""learning_rate"": 0.05, ""n_estimators"": 250, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 6.0, ""reg_lambda"": 10.0}",16.3119,inner_temporal_val_mae_2023,42,False
8,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 2, ""learning_rate"": 0.01, ""n_estimators"": 100, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 3.0, ""reg_lambda"": 9.0}",39.3141,inner_temporal_val_mae_2023,42,False
9,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 3, ""learning_rate"": 0.02, ""n_estimators"": 200, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}",16.438,inner_temporal_val_mae_2023,42,False
0,Ridge,Candidate_C_V3_Compact,"{""alpha"": 0.1767016940294795}",18.058,inner_temporal_val_mae_2023,42,False
1,Ridge,Candidate_C_V3_Compact,"{""alpha"": 506.1576888752306}",22.1162,inner_temporal_val_mae_2023,42,False
2,Ridge,Candidate_C_V3_Compact,"{""alpha"": 24.658329458549105}",17.9453,inner_temporal_val_mae_2023,42,False
3,Ridge,Candidate_C_V3_Compact,"{""alpha"": 3.907967156822881}",17.9839,inner_temporal_val_mae_2023,42,False
4,Ridge,Candidate_C_V3_Compact,"{""alpha"": 0.008632008168602538}",18.0677,inner_temporal_val_mae_2023,42,False
5,Ridge,Candidate_C_V3_Compact,"{""alpha"": 0.008629132190071854}",18.0677,inner_temporal_val_mae_2023,42,False
6,Ridge,Candidate_C_V3_Compact,"{""alpha"": 0.002231010801867922}",18.0702,inner_temporal_val_mae_2023,42,False
7,Ridge,Candidate_C_V3_Compact,"{""alpha"": 157.41890047456639}",19.0522,inner_temporal_val_mae_2023,42,False
8,Ridge,Candidate_C_V3_Compact,"{""alpha"": 4.0428727350273315}",17.9823,inner_temporal_val_mae_2023,42,False
9,Ridge,Candidate_C_V3_Compact,"{""alpha"": 17.71884735480682}",17.9369,inner_temporal_val_mae_2023,42,True
0,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.1767016940294795, ""l1_ratio"": 0.9056428757689245}",17.8761,inner_temporal_val_mae_2023,42,True
1,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 24.658329458549105, ""l1_ratio"": 0.588792635777333}",50.6991,inner_temporal_val_mae_2023,42,False
2,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.008632008168602538, ""l1_ratio"": 0.19039506830258235}",17.9522,inner_temporal_val_mae_2023,42,False
3,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.002231010801867922, ""l1_ratio"": 0.8295585311974416}",18.0396,inner_temporal_val_mae_2023,42,False
4,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 4.0428727350273315, ""l1_ratio"": 0.6872653200164409}",26.9998,inner_temporal_val_mae_2023,42,False
5,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.0013289448722869186, ""l1_ratio"": 0.9229188669457948}",18.0557,inner_temporal_val_mae_2023,42,False
6,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 98.77700294007911, ""l1_ratio"": 0.24110519961044852}",76.6845,inner_temporal_val_mae_2023,42,False
7,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.012329623163659839, ""l1_ratio"": 0.21506405886809044}",17.9411,inner_temporal_val_mae_2023,42,False
8,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.06690421166498801, ""l1_ratio"": 0.522280788469014}",17.9659,inner_temporal_val_mae_2023,42,False
9,ElasticNet,Candidate_C_V3_Compact,"{""alpha"": 0.3905441275210791, ""l1_ratio"": 0.3121062261782377}",20.4562,inner_temporal_val_mae_2023,42,False
0,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 450, ""max_depth"": 5, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}",16.523,inner_temporal_val_mae_2023,42,False
1,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_split"": 9, ""min_samples_leaf"": 3, ""max_features"": ""sqrt""}",19.1367,inner_temporal_val_mae_2023,42,False
2,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 400, ""max_depth"": 7, ""min_samples_split"": 5, ""min_samples_leaf"": 6, ""max_features"": 0.7}",16.1626,inner_temporal_val_mae_2023,42,False
3,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 400, ""max_depth"": 9, ""min_samples_split"": 4, ""min_samples_leaf"": 5, ""max_features"": 0.7}",16.0598,inner_temporal_val_mae_2023,42,True
