feature,group,v3_mean_abs_shap,v3_rank,v2_mean_abs_shap,v2_rank,rank_change,shap_diff,status
humidity_pct_roll_min_14d,,0.0,999.0,0.0597576838270175,53.0,-946.0,-0.0597576838270175,DISAPPEARED
humidity_pct_roll_min_30d,,0.0,999.0,0.0248974780789885,112.0,-887.0,-0.0248974780789885,DISAPPEARED
humidity_pct_roll_min_3d,,0.0,999.0,0.0113725764799468,141.0,-858.0,-0.0113725764799468,DISAPPEARED
humidity_pct_roll_min_7d,,0.0,999.0,0.0152110834953631,136.0,-863.0,-0.0152110834953631,DISAPPEARED
humidity_pct_roll_std_14d,,0.0,999.0,0.0287433492283384,99.0,-900.0,-0.0287433492283384,DISAPPEARED
humidity_pct_roll_std_30d,,0.0,999.0,0.022429130243906,119.0,-880.0,-0.022429130243906,DISAPPEARED
humidity_pct_roll_std_3d,,0.0,999.0,0.0500729487746984,62.0,-937.0,-0.0500729487746984,DISAPPEARED
humidity_pct_roll_std_7d,,0.0,999.0,0.0247577973527381,113.0,-886.0,-0.0247577973527381,DISAPPEARED
humidity_pct_roll_var_14d,,0.0,999.0,0.0595813333875423,54.0,-945.0,-0.0595813333875423,DISAPPEARED
humidity_pct_roll_var_30d,,0.0,999.0,0.024985557430184,111.0,-888.0,-0.024985557430184,DISAPPEARED
humidity_pct_roll_var_3d,,0.0,999.0,0.0341328544879227,91.0,-908.0,-0.0341328544879227,DISAPPEARED
humidity_pct_roll_var_7d,,0.0,999.0,0.0177213026233211,130.0,-869.0,-0.0177213026233211,DISAPPEARED
is_stubble_season,biomass_burning,0.0018679301554198641,34.0,0.0,147.0,113.0,0.0018679301554198641,SHIFTED
pblh_1d,wind_ventilation,1.0082028239816367,9.0,0.0,999.0,990.0,1.0082028239816367,NEW
pblh_min_1d,wind_ventilation,0.8315009442719951,10.0,0.0,999.0,989.0,0.8315009442719951,NEW
pblh_roll_mean_3d,wind_ventilation,2.928240629980508,5.0,0.0,999.0,994.0,2.928240629980508,NEW
pm25_lag_14d,,0.0,999.0,0.0473796479700362,66.0,-933.0,-0.0473796479700362,DISAPPEARED
pm25_lag_1d,pm25_persistence,8.001782428177723,3.0,8.025272296170387,4.0,1.0,-0.02348986799266406,STABLE
pm25_lag_2d,pm25_persistence,0.5823887532508124,11.0,0.0709066964472738,46.0,35.0,0.5114820568035386,SHIFTED
pm25_lag_3d,pm25_persistence,0.30000156756147217,13.0,0.0428397230881825,74.0,61.0,0.25716184447328966,SHIFTED
pm25_lag_7d,pm25_persistence,0.2002216848419712,22.0,0.0404248506283961,77.0,55.0,0.1597968342135751,SHIFTED
pm25_roll_max_14d,,0.0,999.0,2.098050180275164,11.0,-988.0,-2.098050180275164,DISAPPEARED
pm25_roll_max_30d,,0.0,999.0,0.0382681533548942,82.0,-917.0,-0.0382681533548942,DISAPPEARED
pm25_roll_max_3d,,0.0,999.0,14.66994362836818,2.0,-997.0,-14.66994362836818,DISAPPEARED
pm25_roll_max_7d,pm25_persistence,2.9244827818722023,6.0,4.013694718507065,9.0,3.0,-1.0892119366348623,STABLE
pm25_roll_mean_14d,pm25_persistence,1.9618617976039903,8.0,2.3618082151571684,10.0,2.0,-0.39994641755317817,STABLE
pm25_roll_mean_30d,,0.0,999.0,0.0337659356204237,92.0,-907.0,-0.0337659356204237,DISAPPEARED
pm25_roll_mean_3d,pm25_persistence,15.902218061598097,2.0,19.332503221661213,1.0,-1.0,-3.430285160063116,STABLE
pm25_roll_mean_7d,pm25_persistence,2.4969743544083025,7.0,4.917798934174168,6.0,-1.0,-2.420824579765865,STABLE
pm25_roll_median_14d,,0.0,999.0,0.0563749338550952,58.0,-941.0,-0.0563749338550952,DISAPPEARED
pm25_roll_median_30d,,0.0,999.0,0.04431718471162,70.0,-929.0,-0.04431718471162,DISAPPEARED
pm25_roll_median_3d,,0.0,999.0,4.244473323040946,8.0,-991.0,-4.244473323040946,DISAPPEARED
pm25_roll_median_7d,,0.0,999.0,0.224527077547167,18.0,-981.0,-0.224527077547167,DISAPPEARED
