feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
wind_speed_kmh_lag_3d,wind_ventilation,float64,0,0.0,0,154,24.1309,7.6,36.1,15.838904,15.5,4.912321,True,ml.src.features
wind_speed_kmh_lag_7d,wind_ventilation,float64,0,0.0,0,152,24.319219,7.6,36.1,15.822466,15.5,4.931452,True,ml.src.features
wind_speed_kmh_lag_14d,wind_ventilation,float64,0,0.0,0,152,24.83468,7.6,36.1,15.741096,15.3,4.983441,True,ml.src.features
fire_hotspot_count_lag_1d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_2d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
precipitation_mm_lag_1d,meteorological,float64,0,0.0,0,80,31.716846,0.0,35.3,2.357534,0.0,5.631771,True,ml.src.features
precipitation_mm_lag_2d,meteorological,float64,0,0.0,0,80,31.716846,0.0,35.3,2.357534,0.0,5.631771,True,ml.src.features
precipitation_mm_lag_3d,meteorological,float64,0,0.0,0,80,31.716846,0.0,35.3,2.357534,0.0,5.631771,True,ml.src.features
precipitation_mm_lag_7d,meteorological,float64,0,0.0,0,80,31.716846,0.0,35.3,2.357534,0.0,5.631771,True,ml.src.features
precipitation_mm_lag_14d,meteorological,float64,0,0.0,0,80,31.720484,0.0,35.3,2.356712,0.0,5.632094,True,ml.src.features
pm25_roll_mean_3d,pm25_historical,float64,0,0.0,0,363,8038.770269,27.336667,358.166667,142.666653,108.55,89.65919,True,ml.src.features
pm25_roll_median_3d,pm25_historical,float64,0,0.0,0,224,8433.417704,25.64,369.48,143.368041,111.95,91.833641,True,ml.src.features
pm25_roll_max_3d,pm25_historical,float64,0,0.0,0,181,11477.271869,29.14,385.86,169.756466,126.14,107.13203,True,ml.src.features
pm25_roll_min_3d,pm25_historical,float64,0,0.0,0,183,5537.396236,25.26,325.67,114.875452,91.94,74.413683,True,ml.src.features
