feature_name,attribution_group,mean_abs_shap,mean_shap,median_abs_shap,rank
wind_speed_kmh_roll_mean_3d,wind_ventilation,0.04336199419946273,-0.01772342204604788,0.02002547022093329,72
fire_hotspot_count_roll_min_7d,biomass_burning,0.04335342671089091,-0.008758818304994618,0.012932680240882125,73
pm25_lag_3d,pm25_persistence,0.04283972308818251,-0.0040458957690652836,0.018173036622732473,74
fire_hotspot_count_roll_var_7d,biomass_burning,0.041656105650484776,-0.005262301695440203,0.013379772143677568,75
wind_speed_kmh_roll_var_3d,wind_ventilation,0.041208390746108985,0.0017142834337973898,0.024450011925085214,76
pm25_lag_7d,pm25_persistence,0.040424850628396194,0.029123770260791996,0.018200770116836035,77
pm25_roll_std_3d,pm25_persistence,0.03980488193968383,0.020156014843171536,0.019644690212264646,78
wind_speed_kmh_roll_std_14d,wind_ventilation,0.03884843050800349,-0.01255050604999657,0.039042332890212125,79
fire_hotspot_count_roll_std_3d,biomass_burning,0.038655237356286974,0.01243818947520842,0.024494504891436,80
wind_speed_kmh_roll_var_30d,wind_ventilation,0.038320813712759715,-0.01631724407079131,0.03236507454933386,81
pm25_roll_max_30d,pm25_persistence,0.038268153354894224,-0.0008494255817775802,0.026484163097603063,82
fire_hotspot_count_lag_14d,biomass_burning,0.037676100957216394,0.018084303304359606,0.014410908880491773,83
wind_speed_kmh_roll_min_30d,wind_ventilation,0.037140455537543894,-0.008619701579554743,0.028280093880236164,84
temperature_c_lag_7d,meteorology,0.03638993188570016,0.009762402391928512,0.03268034403286946,85
temperature_c_lag_14d,meteorology,0.036025225706539724,0.010589759441188886,0.024284080515139857,86
wind_speed_kmh_lag_3d,wind_ventilation,0.03588812033592602,-0.005473019458677414,0.02198110328027679,87
wind_speed_kmh_roll_min_7d,wind_ventilation,0.03489091001919043,0.009219452826775784,0.018476438273993624,88
wind_speed_kmh_roll_std_3d,wind_ventilation,0.034672430443816654,0.001851499272431203,0.021038517763146768,89
fire_hotspot_count_roll_max_14d,biomass_burning,0.03424338166240941,0.005371936796569763,0.029188090803769426,90
