date,scenario,ood_flag,ood_score,ood_reason
2020-06-03,biomass_low,True,4.726419973821364,Extreme z-score (4.73) on feature 'temperature_c_roll_var_7d'
2020-06-04,biomass_low,False,4.077334728334046,Normal feature distribution
2020-06-05,biomass_low,False,3.99999492537356,Normal feature distribution
2020-06-06,biomass_low,False,3.938871721600195,Normal feature distribution
2020-06-07,biomass_low,False,3.753532112147827,Normal feature distribution
2020-06-08,biomass_low,False,3.1520975349775533,Normal feature distribution
2020-06-09,biomass_low,False,2.415860854521378,Normal feature distribution
2020-06-10,biomass_low,False,2.1549369320742695,Normal feature distribution
2020-06-11,biomass_low,False,2.6938426285532104,Normal feature distribution
2020-06-12,biomass_low,False,2.255067031836976,Normal feature distribution
2020-06-13,biomass_low,False,1.6970682493610711,Normal feature distribution
2020-06-14,biomass_low,False,1.7072613729147434,Normal feature distribution
2020-06-15,biomass_low,False,1.738886064608213,Normal feature distribution
2020-06-16,biomass_low,False,1.703978027456595,Normal feature distribution
2020-06-17,biomass_low,False,1.6595480447469688,Normal feature distribution
2020-06-18,biomass_low,False,1.6018950878809566,Normal feature distribution
2020-06-19,biomass_low,False,1.5369814475350547,Normal feature distribution
2020-06-20,biomass_low,False,1.5369814475350547,Normal feature distribution
2020-06-21,biomass_low,False,1.5369814475350547,Normal feature distribution
2020-06-22,biomass_low,False,1.508410083307989,Normal feature distribution
2020-06-23,biomass_low,False,1.468946174917015,Normal feature distribution
2020-06-24,biomass_low,False,1.468946174917015,Normal feature distribution
2020-06-25,biomass_low,False,1.468946174917015,Normal feature distribution
2020-06-26,biomass_low,False,1.465051737799847,Normal feature distribution
2020-06-27,biomass_low,False,1.3036249103080129,Normal feature distribution
2020-06-28,biomass_low,False,3.821348512286813,Normal feature distribution
2020-06-29,biomass_low,False,2.626742408794902,Normal feature distribution
2020-06-30,biomass_low,False,3.1209092070018536,Normal feature distribution
2020-07-01,biomass_low,False,2.033963015197385,Normal feature distribution
2020-07-02,biomass_low,False,1.9910997024521013,Normal feature distribution
2020-07-03,biomass_low,False,1.4961715642237048,Normal feature distribution
2020-07-04,biomass_low,False,2.630833843083124,Normal feature distribution
2020-07-05,biomass_low,False,2.003373883300994,Normal feature distribution
2020-07-06,biomass_low,False,3.8167540969166285,Normal feature distribution
2020-07-07,biomass_low,False,1.7063029725880086,Normal feature distribution
2020-07-08,biomass_low,False,1.990358477355028,Normal feature distribution
2020-07-09,biomass_low,False,2.5759507804457975,Normal feature distribution
2020-07-10,biomass_low,False,1.7343187159669966,Normal feature distribution
2020-07-11,biomass_low,False,2.6366110289815277,Normal feature distribution
2020-07-12,biomass_low,False,2.007063433693017,Normal feature distribution
2020-07-13,biomass_low,False,1.7018282359773764,Normal feature distribution
2020-07-14,biomass_low,False,1.547039367095809,Normal feature distribution
2020-07-15,biomass_low,False,1.2526556082660758,Normal feature distribution
2020-07-16,biomass_low,False,1.4890426287302445,Normal feature distribution
2020-07-17,biomass_low,False,1.4751375098794108,Normal feature distribution
2020-07-18,biomass_low,False,1.3065077766147686,Normal feature distribution
2020-07-19,biomass_low,False,1.1960525963674047,Normal feature distribution
2020-07-20,biomass_low,False,1.1960525963674047,Normal feature distribution
2020-07-21,biomass_low,False,1.5492106371195555,Normal feature distribution
2020-07-22,biomass_low,False,1.2043446706693364,Normal feature distribution
2020-07-23,biomass_low,False,1.2271313680818756,Normal feature distribution
2020-07-24,biomass_low,False,1.3757502156571972,Normal feature distribution
2020-07-25,biomass_low,False,1.3759665842962567,Normal feature distribution
2020-07-26,biomass_low,False,1.3765316815234558,Normal feature distribution
2020-07-27,biomass_low,False,1.278409606964819,Normal feature distribution
2020-07-28,biomass_low,False,1.278409606964819,Normal feature distribution
2020-07-29,biomass_low,False,1.2285151524737812,Normal feature distribution
2020-07-30,biomass_low,False,1.3811071118874643,Normal feature distribution
2020-07-31,biomass_low,False,1.2811753899351288,Normal feature distribution
2020-08-01,biomass_low,False,1.2080425128018626,Normal feature distribution
2020-08-02,biomass_low,False,1.3757502156571972,Normal feature distribution
2020-08-03,biomass_low,False,1.3759665842962567,Normal feature distribution
