isolation_pass,max_untargeted_diff,bounds_pass,out_of_bounds_count,overall_plausibility_pass,date,scenario
True,0.0,True,0,True,2020-09-19,biomass_low
True,0.0,True,0,True,2020-09-20,biomass_low
True,0.0,True,0,True,2020-09-21,biomass_low
True,0.0,True,0,True,2020-09-22,biomass_low
True,0.0,True,0,True,2020-09-23,biomass_low
True,0.0,True,0,True,2020-09-24,biomass_low
True,0.0,True,0,True,2020-09-25,biomass_low
True,0.0,True,0,True,2020-09-26,biomass_low
True,0.0,True,0,True,2020-09-27,biomass_low
True,0.0,True,0,True,2020-09-28,biomass_low
True,0.0,True,0,True,2020-09-29,biomass_low
True,0.0,True,0,True,2020-09-30,biomass_low
True,0.0,True,0,True,2020-10-01,biomass_low
True,0.0,True,0,True,2020-10-02,biomass_low
True,0.0,True,0,True,2020-10-03,biomass_low
True,0.0,True,0,True,2020-10-04,biomass_low
True,0.0,True,0,True,2020-10-05,biomass_low
True,0.0,True,0,True,2020-10-06,biomass_low
True,0.0,True,0,True,2020-10-07,biomass_low
True,0.0,True,0,True,2020-10-08,biomass_low
True,0.0,True,0,True,2020-10-09,biomass_low
True,0.0,True,0,True,2020-10-10,biomass_low
True,0.0,True,0,True,2020-10-11,biomass_low
True,0.0,True,0,True,2020-10-12,biomass_low
True,0.0,True,0,True,2020-10-13,biomass_low
True,0.0,True,0,True,2020-10-14,biomass_low
True,0.0,True,0,True,2020-10-15,biomass_low
True,0.0,True,0,True,2020-10-16,biomass_low
True,0.0,True,0,True,2020-10-17,biomass_low
True,0.0,True,0,True,2020-10-18,biomass_low
True,0.0,True,0,True,2020-10-19,biomass_low
True,0.0,True,0,True,2020-10-20,biomass_low
True,0.0,True,0,True,2020-10-21,biomass_low
True,0.0,True,0,True,2020-10-22,biomass_low
True,0.0,True,0,True,2020-10-23,biomass_low
True,0.0,True,0,True,2020-10-24,biomass_low
True,0.0,True,0,True,2020-10-25,biomass_low
True,0.0,True,0,True,2020-10-26,biomass_low
True,0.0,True,0,True,2020-10-27,biomass_low
True,0.0,True,0,True,2020-10-28,biomass_low
True,0.0,True,0,True,2020-10-29,biomass_low
True,0.0,True,0,True,2020-10-30,biomass_low
True,0.0,True,0,True,2020-10-31,biomass_low
True,0.0,True,0,True,2020-11-01,biomass_low
True,0.0,True,0,True,2020-11-02,biomass_low
True,0.0,True,0,True,2020-11-03,biomass_low
True,0.0,True,0,True,2020-11-04,biomass_low
True,0.0,True,0,True,2020-11-05,biomass_low
True,0.0,True,0,True,2020-11-06,biomass_low
True,0.0,True,0,True,2020-11-07,biomass_low
True,0.0,True,0,True,2020-11-08,biomass_low
True,0.0,True,0,True,2020-11-09,biomass_low
True,0.0,True,0,True,2020-11-10,biomass_low
True,0.0,True,0,True,2020-11-11,biomass_low
True,0.0,True,0,True,2020-11-12,biomass_low
True,0.0,True,0,True,2020-11-13,biomass_low
True,0.0,True,0,True,2020-11-14,biomass_low
True,0.0,True,0,True,2020-11-15,biomass_low
True,0.0,True,0,True,2020-11-16,biomass_low
True,0.0,True,0,True,2020-11-17,biomass_low
True,0.0,True,0,True,2020-11-18,biomass_low
True,0.0,True,0,True,2020-11-19,biomass_low
True,0.0,True,0,True,2020-11-20,biomass_low
True,0.0,True,0,True,2020-11-21,biomass_low
True,0.0,True,0,True,2020-11-22,biomass_low
True,0.0,True,0,True,2020-11-23,biomass_low
True,0.0,True,0,True,2020-11-24,biomass_low
True,0.0,True,0,True,2020-11-25,biomass_low
True,0.0,True,0,True,2020-11-26,biomass_low
True,0.0,True,0,True,2020-11-27,biomass_low
True,0.0,True,0,True,2020-11-28,biomass_low
True,0.0,True,0,True,2020-11-29,biomass_low
True,0.0,True,0,True,2020-11-30,biomass_low
True,0.0,True,0,True,2020-12-01,biomass_low
True,0.0,True,0,True,2020-12-02,biomass_low
True,0.0,True,0,True,2020-12-03,biomass_low
True,0.0,True,0,True,2020-12-04,biomass_low
True,0.0,True,0,True,2020-12-05,biomass_low
True,0.0,True,0,True,2020-12-06,biomass_low
True,0.0,True,0,True,2020-12-07,biomass_low
True,0.0,True,0,True,2020-12-08,biomass_low
True,0.0,True,0,True,2020-12-09,biomass_low
True,0.0,True,0,True,2020-12-10,biomass_low
True,0.0,True,0,True,2020-12-11,biomass_low
True,0.0,True,0,True,2020-12-12,biomass_low
True,0.0,True,0,True,2020-12-13,biomass_low
True,0.0,True,0,True,2020-12-14,biomass_low
True,0.0,True,0,True,2020-12-15,biomass_low
True,0.0,True,0,True,2020-12-16,biomass_low
True,0.0,True,0,True,2020-12-17,biomass_low
True,0.0,True,0,True,2020-12-18,biomass_low
True,0.0,True,0,True,2020-12-19,biomass_low
True,0.0,True,0,True,2020-12-20,biomass_low
True,0.0,True,0,True,2020-12-21,biomass_low
True,0.0,True,0,True,2020-12-22,biomass_low
True,0.0,True,0,True,2020-12-23,biomass_low
True,0.0,True,0,True,2020-12-24,biomass_low
True,0.0,True,0,True,2020-12-25,biomass_low
True,0.0,True,0,True,2020-12-26,biomass_low
True,0.0,True,0,True,2020-12-27,biomass_low
True,0.0,True,0,True,2020-12-28,biomass_low
True,0.0,True,0,True,2020-12-29,biomass_low
True,0.0,True,0,True,2020-12-30,biomass_low
True,0.0,True,0,True,2020-12-31,biomass_low
True,0.0,True,0,True,2021-01-01,biomass_low
True,0.0,True,0,True,2021-01-02,biomass_low
True,0.0,True,0,True,2021-01-03,biomass_low
True,0.0,True,0,True,2021-01-04,biomass_low
True,0.0,True,0,True,2021-01-05,biomass_low
True,0.0,True,0,True,2021-01-06,biomass_low
True,0.0,True,0,True,2021-01-07,biomass_low
True,0.0,True,0,True,2021-01-08,biomass_low
True,0.0,True,0,True,2021-01-09,biomass_low
True,0.0,True,0,True,2021-01-10,biomass_low
True,0.0,True,0,True,2021-01-11,biomass_low
True,0.0,True,0,True,2021-01-12,biomass_low
True,0.0,True,0,True,2021-01-13,biomass_low
True,0.0,True,0,True,2021-01-14,biomass_low
True,0.0,True,0,True,2021-01-15,biomass_low
True,0.0,True,0,True,2021-01-16,biomass_low
True,0.0,True,0,True,2021-01-17,biomass_low
True,0.0,True,0,True,2021-01-18,biomass_low
True,0.0,True,0,True,2021-01-19,biomass_low
True,0.0,True,0,True,2021-01-20,biomass_low
True,0.0,True,0,True,2021-01-21,biomass_low
True,0.0,True,0,True,2021-01-22,biomass_low
True,0.0,True,0,True,2021-01-23,biomass_low
True,0.0,True,0,True,2021-01-24,biomass_low
True,0.0,True,0,True,2021-01-25,biomass_low
True,0.0,True,0,True,2021-01-26,biomass_low
True,0.0,True,0,True,2021-01-27,biomass_low
True,0.0,True,0,True,2021-01-28,biomass_low
True,0.0,True,0,True,2021-01-29,biomass_low
True,0.0,True,0,True,2021-01-30,biomass_low
True,0.0,True,0,True,2021-01-31,biomass_low
True,0.0,True,0,True,2021-02-01,biomass_low
True,0.0,True,0,True,2021-02-02,biomass_low
True,0.0,True,0,True,2021-02-03,biomass_low
True,0.0,True,0,True,2021-02-04,biomass_low
True,0.0,True,0,True,2021-02-05,biomass_low
True,0.0,True,0,True,2021-02-06,biomass_low
True,0.0,True,0,True,2021-02-07,biomass_low
True,0.0,True,0,True,2021-02-08,biomass_low
True,0.0,True,0,True,2021-02-09,biomass_low
True,0.0,True,0,True,2021-02-10,biomass_low
True,0.0,True,0,True,2021-02-11,biomass_low
True,0.0,True,0,True,2021-02-12,biomass_low
True,0.0,True,0,True,2021-02-13,biomass_low
True,0.0,True,0,True,2021-02-14,biomass_low
True,0.0,True,0,True,2021-02-15,biomass_low
True,0.0,True,0,True,2021-02-16,biomass_low
True,0.0,True,0,True,2021-02-17,biomass_low
True,0.0,True,0,True,2021-02-18,biomass_low
True,0.0,True,0,True,2021-02-19,biomass_low
True,0.0,True,0,True,2021-02-20,biomass_low
True,0.0,True,0,True,2021-02-21,biomass_low
True,0.0,True,0,True,2021-02-22,biomass_low
True,0.0,True,0,True,2021-02-23,biomass_low
True,0.0,True,0,True,2021-02-24,biomass_low
True,0.0,True,0,True,2021-02-25,biomass_low
True,0.0,True,0,True,2021-02-26,biomass_low
True,0.0,True,0,True,2021-02-27,biomass_low
True,0.0,True,0,True,2021-02-28,biomass_low
True,0.0,True,0,True,2021-03-01,biomass_low
True,0.0,True,0,True,2021-03-02,biomass_low
