event_id,start_date,end_date,peak_date,observed_pm25,observed_prediction,dominant_group,biomass_cf_prediction,biomass_delta,wind_cf_prediction,wind_delta,meteorology_cf_prediction,meteorology_delta,combined_cf_prediction,combined_delta,confidence,ood_flag
EVT_055,2022-11-08,2022-11-10,2022-11-08,371.31,289.29458430400877,pm25_persistence,286.01863907660555,-3.275945227403213,270.77070011867414,-18.523884185334623,291.36583361137554,2.07124930736677,267.89465139317986,-21.39993291082891,HIGH,False
EVT_056,2022-11-18,2022-11-19,2022-11-18,351.34,289.9959088562656,pm25_persistence,285.8723770050261,-4.123531851239477,277.13904068612135,-12.856868170144253,288.8237731151339,-1.172135741131683,272.1794470344016,-17.81646182186398,HIGH,False
EVT_057,2022-11-23,2022-11-23,2022-11-23,312.01,290.65647259339124,pm25_persistence,289.21826513213574,-1.4382074612555016,276.1639010720515,-14.492571521339755,290.12332059004547,-0.5331520033457764,273.10613310904625,-17.55033948434499,HIGH,False
EVT_058,2022-11-30,2022-11-30,2022-11-30,317.81,277.66291022614286,pm25_persistence,277.58272486953297,-0.08018535660988846,264.48635384014943,-13.176556385993422,282.9039329851398,5.241022758996962,268.1508459719067,-9.51206425423618,HIGH,False
EVT_059,2022-12-04,2022-12-04,2022-12-04,309.45,279.38423485165464,pm25_persistence,279.6445223483324,0.26028749667773354,265.3450607065756,-14.039174145079016,284.36691377545975,4.982678923805111,268.4825731208889,-10.901661730765738,HIGH,False
EVT_060,2022-12-07,2022-12-07,2022-12-07,347.44,283.4812301605913,pm25_persistence,283.32483555040886,-0.15639461018241718,267.4643848017379,-16.016845358853402,286.33995150815167,2.8587213475603903,268.2153364764275,-15.265893684163757,HIGH,False
EVT_061,2022-12-12,2022-12-12,2022-12-12,361.03,282.1496165037284,pm25_persistence,271.1292153553812,-11.020401148347219,269.0513173298363,-13.098299173892087,279.48680653500827,-2.6628099687201257,255.3468752399544,-26.80274126377401,HIGH,False
EVT_062,2022-12-14,2022-12-14,2022-12-14,369.12,282.8018794221664,pm25_persistence,282.96726375321333,0.16538433104693695,264.37836299919604,-18.42351642297035,288.67926977209964,5.8773903499332505,268.8702131825811,-13.931666239585297,HIGH,False
EVT_063,2022-12-22,2022-12-22,2022-12-22,389.87,261.960063944545,pm25_persistence,254.9917831078731,-6.968280836671937,245.59850920009924,-16.361554744445783,259.95516246318914,-2.004901481355887,237.87305178315245,-24.08701216139258,HIGH,False
EVT_064,2022-12-25,2022-12-26,2022-12-25,346.84,288.7754392756279,pm25_persistence,288.98217607994906,0.20673680432116726,272.153746882082,-16.621692393545914,287.75353610581254,-1.0219031698153458,270.38327235595773,-18.39216691967016,HIGH,False
EVT_065,2022-12-30,2022-12-30,2022-12-30,383.61,294.2290786985795,pm25_persistence,293.72567232007333,-0.5034063785061562,278.0189196952745,-16.210159003304966,291.44882916955413,-2.7802495290253546,273.4301394673006,-20.798939231278894,HIGH,False
EVT_066,2023-01-02,2023-01-03,2023-01-02,381.49,290.9870855333327,pm25_persistence,290.6262137284625,-0.3608718048701576,273.47157370540737,-17.51551182792531,289.0378593699886,-1.9492261633440648,270.00003310723093,-20.98705242610174,HIGH,False
