config_id,config_name,architecture,augmentation_ratio,corpus_type,seed,window_size,dimension,category,samples,mae,rmse
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Regime,High,327,42.12968444824219,49.03468060815477
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Regime,Low,245,16.84811019897461,21.72140341817439
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Regime,Moderate,330,18.32679557800293,24.84485060455184
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Year,2022,351,33.348984376890755,45.37128574988261
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Year,2023,365,33.36171164813725,43.3440776740419
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Year,2024,366,35.67221024777781,48.59033355882959
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Season,Monsoon,366,17.42761671408109,21.86124515930025
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Season,Post-Monsoon,183,58.283213036411745,70.07947406038618
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Season,Summer,276,26.13535445066456,32.217789802260434
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Season,Winter,257,49.34184314064195,59.57948201194762
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Regime,Extreme,180,49.092867510738245,60.80941020482887
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Regime,High,327,51.00347774921838,60.23252237061023
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Regime,Low,245,16.13974410772017,20.31091725853179
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),Transformer,0.25,8C,42,14,Regime,Moderate,330,22.634716776444524,31.11079443111425
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Year,2022,351,33.15145619731218,44.6567924029746
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Year,2023,365,34.38668577582678,44.88981278695862
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Year,2024,366,34.04683577644751,45.75907025506393
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Season,Monsoon,366,21.744567558722498,28.28959879346095
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Season,Post-Monsoon,183,49.8557905173886,62.314463679086415
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Season,Summer,276,25.502311762994903,30.846760754902796
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Season,Winter,257,48.74585171148638,60.33990579912185
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Regime,Extreme,180,54.22064271556322,67.92937240609258
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Regime,High,327,42.19385781604006,51.812666536784356
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Regime,Low,245,17.319168659396443,22.129954429788032
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),LSTM,0.5,8C,42,14,Regime,Moderate,330,26.812544883074334,33.63904825556184
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Year,2022,351,29.937501907348633,40.95235149259975
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Year,2023,365,30.693511962890625,41.05354051085683
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Year,2024,366,31.433116912841797,42.96431085023868
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Season,Monsoon,366,16.812305450439453,21.136079489847965
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Season,Post-Monsoon,183,52.24702072143555,64.37691137939129
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Season,Summer,276,20.989269256591797,26.01969398547293
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Season,Winter,257,45.55708694458008,54.75996538159744
REAL_PLUS_8C_50,Real + 50% Phase 8C Baseline (Upper Bound),TCN,0.5,8C,42,14,Regime,Extreme,180,49.28852081298828,62.51381487944285
