Fold,Eval_Year,Is_Holdout,Model,Feature_Group,Feature_Count,Train_Rows,Eval_Rows,MAE,RMSE,R2,Median_AE
3,2024,True,Persistence,ablation_pm25_plus_fire_transport,59,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,ablation_pm25_plus_fire_transport,59,1461,366,26.3676,36.118,0.8564,18.9512
3,2024,True,ElasticNet,ablation_pm25_plus_fire_transport,59,1461,366,26.6688,36.715,0.8516,19.3598
3,2024,True,Random Forest,ablation_pm25_plus_fire_transport,59,1461,366,26.4322,35.8205,0.8588,18.5404
3,2024,True,XGBoost,ablation_pm25_plus_fire_transport,59,1461,366,26.1888,36.3925,0.8542,19.0138
3,2024,True,Persistence,ablation_pm25_plus_pollutants,87,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,ablation_pm25_plus_pollutants,87,1461,366,26.663,36.3695,0.8544,19.1863
3,2024,True,ElasticNet,ablation_pm25_plus_pollutants,87,1461,366,26.5323,36.5185,0.8532,19.5377
3,2024,True,Random Forest,ablation_pm25_plus_pollutants,87,1461,366,26.6059,35.7813,0.8591,18.9022
3,2024,True,XGBoost,ablation_pm25_plus_pollutants,87,1461,366,26.5376,36.8519,0.8505,19.2154
